id,Restaurant,Adress,Time,Price,City
83,Trung Thúy - Mì Cay Hàn Quốc - Chung Cư Ẩn Quang,"011 Lô E Chung Cư Ẩn Quang, Vĩnh Viễn, P. 9, Quận 10, TP. HCM",Đã đóng,30.000 - 40.000,HCM
84,Sài Gòn Ăn Vặt - Vườn Lài,"221/41A Vườn Lài, P. Phú Thọ Hòa, Tân Phú, TP. HCM",Đã đóng,9.000 - 100.000,HCM
85,Chabi - Cà Ri & Bún Thái,"85A Bùi Đình Túy, P. 24, Bình Thạnh, TP. HCM",Đã đóng,15.000 - 120.000,HCM
86,Xí Ngầu Food - Món Ngon Nhà Làm,"510 Bùi Minh Trực, P. 6, Quận 8, TP. HCM",Đã đóng,5.000 - 120.000,HCM
87,A Duỳn - Food & Drink - Shop Online,"185 Cống Quỳnh, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",Đã đóng,5.000 - 30.000,HCM
88,My Cafe - Trường Chinh,"202-204 Trường Chinh, P. 13, Tân Bình, TP. HCM",Đã đóng,22.000 - 59.000,HCM
89,ZONE FOOD - Bếp Thượng Hạng - Đường 3 Tháng 2,"1352/1 Đường 3 Tháng 2, P. 2, Quận 11, TP. HCM",Đã đóng,5.000 - 59.000,HCM
90,Quán Ben - Cơm Trưa Văn Phòng - Shop Online,"373/152/41/6 Lý Thường Kiệt, P. 8, Tân Bình, TP. HCM",Đã đóng,35.000 - 35.000,HCM
91,Trà Sữa Nọng - Hương Lộ 2,"761 Hương Lộ 2, P. Bình Trị Đông A, Bình Tân, TP. HCM",Đã đóng,24.000 - 24.000,HCM
92,Nông Trại 89 - Chân Gà Sốt Thái - Shop Online - Nguyễn Thiện Thuật,"242/21/42 Nguyễn Thiện Thuật, P. 3, Quận 3, TP. HCM",Đã đóng,15.000 - 120.000,HCM
93,Hamburger - Fast Food - Shop Online,"117/1C Bình Quới, P. 27, Bình Thạnh, TP. HCM",Đã đóng,20.000 - 52.000,HCM
94,Ốc Hồng - Đường Số 7,"42 Đường Số 7, P. Tân Kiểng, Quận 7, TP. HCM",Đã đóng,30.000 - 50.000,HCM
95,Ngân Tara - Súp Cua,"38 Đường Số 5, P. 6, Quận 8, TP. HCM",Đã đóng,25.000 - 39.000,HCM
96,Ăn Vặt Cô By - Tàu Hủ Sing & Nước Giải Khát - 36 Đường 295,"36 Đường Số 295, P. Tân Phú, Thành Phố Thủ Đức, TP. HCM",Đã đóng,15.000 - 100.000,HCM
97,Mẹ Miu Food - Đồ Ăn Vặt,"261/16 Đình Phong Phú, P. Tăng Nhơn Phú B, Quận 9, TP. HCM",Đã đóng,15.000 - 70.000,HCM
98,Ăn Vặt Ben - Shop Online,"146/39/21 Trương Đăng Quế, P. 3, Gò Vấp, TP. HCM",Đã đóng,20.000 - 150.000,HCM
99,Bé Diệp - Bánh Xèo Rau Rừng,"455 Phạm Văn Đồng, P. 13, Bình Thạnh, TP. HCM",Đã đóng,7.000 - 50.000,HCM
100,Lâm - Healthy Food & Cơm Văn Phòng,"55/3 Nguyễn Trọng Tuyển, P. 15, Phú Nhuận, TP. HCM",Đã đóng,50.000 - 50.000,HCM
101,Mỳ Mix - Trái Cây Sạch & Đồ Ăn Vặt - Shop Online,"263/4 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",Đã đóng,15.000 - 35.000,HCM
102,Pizza Bé Bầu - Đỗ Xuân Hợp,"395A Đỗ Xuân Hợp, P. Phước Long B, Thành Phố Thủ Đức, TP. HCM",00:00 - 23:59,50.000 - 100.000,HCM
103,Sushi Cô Chủ Hoa Mai 1 - Shop Online,"5C Thanh Niên, X. Xuân Thới Sơn, Bình Chánh, TP. HCM",Đã đóng,20.000 - 150.000,HCM
104,Châu Linh Trà Sữa Nhà Làm,"12 Nguyễn Tư Giản, P. 12, Gò Vấp, TP. HCM",Đã đóng,20.000 - 25.000,HCM
105,Cô Lan - Bánh Tráng & Há Cảo,"60/4 Vạn Kiếp, P. 3, Bình Thạnh, TP. HCM",Đã đóng,15.000 - 22.000,HCM
106,"Thị Đặng - Trà Sữa, Chân Gà Sả Tắc & Trái Cây Gọt Sẵn","355/11 Bến Vân Đồn, P. 1, Quận 4, TP. HCM",Đã đóng,10.000 - 99.000,HCM
107,Mái Chèo 234 - Hải Sản,"234 Lê Văn Thịnh, P. Cát Lái, Quận 2, TP. HCM",Đã đóng,49.000 - 69.000,HCM
108,Thanh Châu - Quán Ăn & Giải Khát,"177 Cách Mạng Tháng 8, P. 5, Quận 3, TP. HCM",Đã đóng,5.000 - 46.000,HCM
109,HN Sea Food - Cơm Ghẹ Phú Quốc - Shop Online,"Block A2 - Chung Cư The Gold View, 346 Bến Vân Đồn, P. 1, Quận 4, TP. HCM",Đã đóng,10.000 - 100.000,HCM
110,Quán Ốc Bụng Bự,"1B Đường Số 10, Cư Xá Đài Ra Đa, P. 13, Quận 6, TP. HCM",Đã đóng,35.000 - 70.000,HCM
111,Truly - Coffee Organic - Nguyễn Thái Bình,"268/12 Nguyễn Thái Bình, P. 12, Tân Bình, TP. HCM",Đã đóng,35.000 - 40.000,HCM
112,Quán Chay 62 - Lý Chính Thắng,"62/113/6 Lý Chính Thắng, P. Võ Thị Sáu, Quận 3, TP. HCM",Đã đóng,30.000 - 50.000,HCM
113,Bếp Mẹ Síu - Chè Dưỡng Nhan,"41A Rạch Bùng Binh, P. 9, Quận 3, TP. HCM",Đã đóng,15.000 - 35.000,HCM
114,Xôi Anh Bốn,"13D Tân Kỳ Tân Quý, P. 13, Tân Bình, TP. HCM",Đã đóng,15.000 - 35.000,HCM
115,Bao Bao - Đồ Ăn Vặt & Nước Uống,"175/5 Võ Văn Tần, P. 5, Quận 3, TP. HCM",Đã đóng,8.000 - 30.000,HCM
116,Bánh Xèo Giòn Miền Trung,"815 Hương Lộ 2, P. Bình Trị Đông A, Bình Tân, TP. HCM",16:00 - 23:59,7.000 - 30.000,HCM
117,Trà Sữa Thanh Đa,"206/20 Nguyễn Gia Trí ( Đường D2), P. 25, Bình Thạnh, TP. HCM",Đã đóng,8.000 - 100.000,HCM
118,Ốc Đêm T3 - Trịnh Đình Thảo,"14 Trịnh Đình Thảo, P. Hòa Thạnh, Tân Phú, TP. HCM",16:00 - 23:59,39.000 - 200.000,HCM
119,Balun Food,"92/62/24 Xô Viết Nghệ Tĩnh, P. 21, Bình Thạnh, TP. HCM",Đã đóng,25.000 - 49.000,HCM
120,Ăn Vặt Bé Béo - Đường 34,"Số 2 Đường 34, P. Linh Đông, Thành Phố Thủ Đức, TP. HCM",Đã đóng,10.000 - 30.000,HCM
121,Cơm Gà Hội An - Trương Quyền,"9/8 Trương Quyền, P. 6, Quận 3, TP. HCM",Đã đóng,20.000 - 65.000,HCM
122,A Tĩa - Ẩm Thực Trung Hoa,"449/1/1B Hương Lộ 2, P. Bình Trị Đông, Bình Tân, TP. HCM",Đã đóng,15.000 - 70.000,HCM
123,Chuối Nếp Nướng Miền Tây - Phạm Văn Hai,"126 Phạm Văn Hai, P. 2, Tân Bình, TP. HCM",Đã đóng,10.000 - 20.000,HCM
124,Hugo - Cafe & Food,"222A Lê Văn Lương, P. Tân Hưng, Quận 7, TP. HCM",Đã đóng,39.000 - 200.000,HCM
125,Mai Home - Bún Cà Ri Gà - Đường Số 7,"61 Đường Số 7, Xã Bình Hưng, Bình Chánh, TP. HCM",Đã đóng,55.000 - 280.000,HCM
126,Alo - Coffee & Bánh Mì,"122B Rạch Bùng Binh, P. 9, Quận 3, TP. HCM",Đã đóng,12.000 - 20.000,HCM
127,Su Su - Cá Viên Chiên - Shop Online,"136/6 Nguyễn Thượng Hiền, P. 1, Gò Vấp, TP. HCM",Đã đóng,5.000 - 125.000,HCM
128,Dream Coffee Tea - Nguyễn Trãi,"Tầng 1, Tầng 1 Chung cư, 60 Nguyễn Trãi, P. Bến Thành, Quận 1, TP. HCM",Đã đóng,30.000 - 50.000,HCM
129,Mắm Quê - Ẩm Thực Miền Tây,"60 Phó Đức Chính, P. Nguyễn Thái Bình, Quận 1, TP. HCM",Đã đóng,50.000 - 400.000,HCM
130,Bánh Mì Chị Mười,"15/20 Đoàn Như Hài, P. 12, Quận 4, TP. HCM",Đã đóng,20.000 - 40.000,HCM
131,Trang Cộng - Bánh Mì Thịt Nướng - Điện Biên Phủ,"128 Điện Biên Phủ, P. 17, Bình Thạnh, TP. HCM",Đã đóng,25.000 - 55.000,HCM
132,Mẹ Thỏ - Rau Má Mix,"738 Nguyễn Văn Quá, P. Đông Hưng Thuận, Quận 12, TP. HCM",Đã đóng,10.000 - 25.000,HCM
133,Jolie - Bakery & Cafe,"290 Nơ Trang Long, P. 12, Bình Thạnh, TP. HCM",Đã đóng,15.000 - 500.000,HCM
